ID,VOICE,TEXT COLOR,PORTRAIT,ROUTE TO AFTER,CHOICE_1,CHOICE_1_NEXT,CHOICE_2,CHOICE_2_NEXT,ENGLISH,SPANISH,JAPANESE,GERMAN,CHINESE,CHINESE SIMPLIFIED,KOREAN,ITALIAN,PORTUGUESE
boss_red_skeleton_bibi_b1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You're outnumbered!,Somos más!,お前一人じゃ勝てねぇぞ！,Wir sind mehr als du!,你們寡不敵眾了!,你们寡不敌众了!,이쪽이 머릿수가 더 많아! 어서 항복하시지!,Siamo troppi per te!,Você está em desvantagem!
boss_red_skeleton_bibi_b2,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,No I'm not!,Claro que no!,`sそんなことないもん！,"Nein, seid ihr nicht!",不，並沒有!,不，并没有!,절대로 안돼요!,"No, non è vero!",Não eu não to!
boss_red_skeleton_bibi_b3,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Wait. 1.. 2..,Espera. 1.. 2..,待って。1…2…,Wartet.. 1.. 2,等等。1...2...,等等。 1...2...,아 잠깐.. 1명... 2명...,Aspetta. 1.. 2..,Espera. 1.. 2..
boss_red_skeleton_bibi_c1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Stop right there!,Detente ahí mismo!,そこまでだ！,Bleib genau wo du bist!,給我停下!,给我停下!,거기 멈춰라!,Fermati immediatamente!,Pare ai mesmo!
boss_red_skeleton_bibi_c2,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,"No, I have to get to Bobo!","No, tengo que llegar a Bobo!",ダメ、ボボのとこに行くの！,Nein! Ich muss zu Bobo!,不行，我得逮到波波!,不行，我得逮到波波!,안돼요! 보보가 있는 곳 까지 가야 해요!,"No, devo raggiungere Bobo!","Não, eu preciso de chegar no Bobo!"
boss_red_skeleton_bibi_c3,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Do you have an appointment?,Tienes una cita?,予約はあるか？,Hast du einen Termin?,請問您有先預約嗎?,请问您有先预约吗?,예약은 하고 왔니?,Hai prenotato un appuntamento?,Você tem alguma marcação?
boss_red_skeleton_bibi_c4,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,..no,.. no,…ない,..nein,...沒有。,...没有。,..아뇨?,no..,..não.
boss_red_skeleton_baba_a1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You'll never get past us!,Nunca pasarás por nosotros!,ここは通さねぇぞ！,Du kommst niemals an uns vorbei!,你永遠過不去的!,你永远过不去的!,넌 못 지나간다!,Non ti faremo mai passare!,Você nunca vai conseguir passar por nos!
boss_red_skeleton_baba_a2,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,Move.,Muévanse.,どけ。,Aus dem Weg!,讓開。,让开。,비켜라.,Levati.,Mova-se.
boss_red_skeleton_baba_b1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You're outnumbered!,Somos más!,お前一人じゃ勝てねぇぞ！,Wir sind mehr als du!,你們寡不敵眾了!,你们寡不敌众了!,이쪽이 머릿수가 더 많아! 어서 항복하시지!,Siamo troppi per te!,Você está em desvantagem!
boss_red_skeleton_baba_b2,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,Doesn't matter.,No importa.,関係ねぇ。,Egal.,那不重要。,那不重要。,상관없어.,Non importa.,Não importa.
boss_red_skeleton_baba_c1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,"Wait, I know you!","Espera, te conozco!",あ、お前知ってるぞ！,"Warte, dich kenne ich doch!",等等，我認識你!,等等，我认识你!,잠깐! 너는 어디서 본 것 같은데?,"Aspetta, ti conosco!","Espera, eu te conheço!"
boss_red_skeleton_baba_c2,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,You won't forget me either.,No me olvidarás tampoco.,こっちも忘れちゃいないよ。,Du wirst mich auch nicht vergessen.,你也很快會忘不了我的。,你也很快会忘不了我的。,"그래, 절대로 못 잊게 해주지.",Non ti dimenticherai di me.,Você não vai me esquecer tambem.
boss_red_skeleton_bobo_a1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Stop right there imposter!,"Detente ahí, impostor!",そこまでだ偽物！,"Stopp, du Hochstapler!",給我停下，你這個冒牌貨!,给我停下，你这个冒牌货!,거기 멈춰라 가짜 녀석!,Fermati impostore!,Pare ai mesmo impostor!
boss_red_skeleton_bobo_a2,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,`sIMPOSTER?,`sIMPOSTOR?,`s偽物だぁ？,`sHOCHSTAPLER?,s冒牌貨?,s冒牌货?,`s가짜라고??,`sIMPOSTORE?,`sIMPOSTOR?
boss_red_skeleton_bobo_a3,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,Who else do you know with robes like this?!,A quién más conoces con batas como esta?!,このローブ着てる奴、他にいるか？！,"Wen kennt ihr denn noch, der solche Gewänder trägt?",你還認識其他人會穿成這樣嗎?!,你还认识其他人会穿成这样吗?!,나처럼 멋진 로브를 입은 사람이 나 말고 있기는 해?,Chi altro conosci con una tunica così?!,Quem mais você conhece com um manto assim?
boss_red_skeleton_bobo_a4,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,A lot of people actually,"De hecho, a bastantes",けっこういるけどな,Einige Leute tatsächlich,其實還蠻多人的。,其实还蛮多人的。,로브 입은 사람은 이 탑에 많이 있는데...,Molte persone,uma perturbação..
boss_red_skeleton_bobo_b1,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,Listen to me and `sMOVE!,Escúchame y `sMUÉVANSE!,いいから`sどけ！,Hört mir zu und `sBEWEGT EUCH!,給我退下's閃一邊去!,给我退下's闪一边去!,명령이다! `s어서 비켜라!,Ascoltami e `sLEVATI!,Me ouve e SE MEXE!
boss_red_skeleton_bobo_b2,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,We only listen to The Great Bobo.,Solo seguimos ordenes del Gran Bobo.,俺たちは偉大なるボボ様の命令しか聞かない。,Wir gehorchen nur dem großen Bobo.,我們只願服從偉大的波波。,我们只愿服从伟大的波波。,우리는 위대한 보보님의 말만 듣는다!,Seguiamo gli ordini solo del Grande Bobo.,Apenas ouvimos O Grande Bobo.
boss_red_skeleton_bobo_b3,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,I `sAM`s Bobo?!,Yi `sSOY`s Bobo?!,`s俺がボボだ！,Ich `sBIN Bobo?!,s我就是's波波啊?!,s我就是's波波啊?!,`s내가`s 보보잖아??,Io `sSONO`s Bobo?!,Eu `sSOU`s o Bobo?!
boss_red_skeleton_bobo_b4,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,The real Bobo is at the top of the big tower!,El Bobo real está en la cima de la gran torre!,本物のボボ様は塔のてっぺんにいる！,Der echte Bobo ist oben im Turm!,真正的波波現在可在塔頂呢!,真正的波波现在可在塔顶呢!,진짜 보보님은 탑 꼭대기에 계신다!,Il vero Bobo è alla cima della torre!,O verdadeiro Bobo está no topo da grande torre!
boss_red_skeleton_bobo_b5,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,`sLET ME THROUGH!,`sDÉJENME PASAR!,`s通せって言ってんだろ！,`sLASST MICH DURCH!,s讓我過去!,s让我过去!,`s어서 비키란 말이다!,`sFAMMI PASSARE!,`sDEIXA EU PASSAR!
boss_red_skeleton_bebe_a1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Are you lost?,Estas perdido?,迷子か？,Hast du dich verirrt?,你迷路了嗎?,你迷路了吗?,꼬맹아 혹시 길을 잃은거니?,Si persa?,Você ta perdido?
boss_red_skeleton_bebe_a2,snd_talk_high,bf794d,spr_portrait_bebe,-1,-1,-1,-1,-1,Nope!,Nop!,ううん！,Nö!,沒有!,没有!,아뇨!,No!,Nope!
boss_red_skeleton_bebe_a3,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,..you're a trespasser?,..eres un intruso?,…侵入者か？,...du bist ein Unbefugter?,...那你是入侵者嗎?,...那你是入侵者吗?,...그럼 침입자라는 거야?,..sei un'intrusa?,...você é um invasor?
boss_red_skeleton_bebe_a4,snd_talk_high,bf794d,spr_portrait_bebe,-1,-1,-1,-1,-1,Yep!,Sip!,そう！,Jup!,沒錯!,没错!,네!,Sì!,Yep!
boss_red_skeleton_bebe_b1,snd_talk_high,bf794d,spr_portrait_bebe,-1,-1,-1,-1,-1,Where can I find The Great Wizard?,Dónde puedo encontrar al Gran Mago?,偉大なる魔法使いはどこ？,Wo kann ich den großen Zauberer finden?,請問要怎麼找到大巫師?,请问要怎么找到大巫师?,위대한 마법사님은 어디에 있어요?,Dove posso trovare Il Grande Mago?,Onde posso encontrar O Grande Mago?
boss_red_skeleton_bebe_b2,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,We'll die before we tell you!,Moriremos antes de decirte!,死んでも教えるか！,"Wir würden lieber sterben, als es dir zu sagen!",我們死也不會告訴你的!,我们死也不会告诉你的!,안돼! 그것만큼은 죽어도 못 말해준다!,Moriremo prima di dirtelo!,Vamos morrer antes de te falar!
boss_red_skeleton_bebe_b3,snd_talk_high,bf794d,spr_portrait_bebe,-1,-1,-1,-1,-1,hehe okay!,hehe okay!,へへ、わかったー！,hehe okay!,嘻嘻，好喔!,嘻嘻，好喔!,히히. 알겠어요!,hehe okay!,hehe okay!
boss_red_skeleton_bubu_a1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Stop right there intruder!,Detente ahí intruso!,そこまでだ侵入者！,"Halt, Eindringling!",給我停下，入侵者!,给我停下，入侵者!,거기 멈춰라 침입자 녀석!,Fermati intruso!,Pare ai mesmo intruso!
boss_red_skeleton_bubu_a2,snd_talk_lowmid,f7a5cb,spr_portrait_bubu,-1,-1,-1,-1,-1,Erm.. I'm here to deliver a pizza?,Erm... Estoy aquí para entregar una pizza?,えっと…ピザのお届けに来ました？,"Ääh.. ich bin hier, um Pizza zu liefern?",呃...我是來...送披薩的?,呃...我是来...送披萨的?,어... 저 피자 배달하러 왔는데요?,Erm.. Sono qui per consegnare una pizza?,Erm.. Eu to aqui pra entregar a pizza?
boss_red_skeleton_bubu_a3,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Oh goodie! Give me a slice!,Oh bien! Dame un pedazo!,わーい！一切れちょうだい！,Oh super! Gib mir ein Stück!,喔真的嗎! 那我要一片!,喔真的吗! 那我要一片!,아 잘됐군! 한조각만 줄 수 있나?,Oh bene! Dammi una fetta!,Oh meu deus! Me da uma fatia!
boss_red_skeleton_bubu_b1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Stop that rabbit!,Detén a ese conejo!,そのウサギを止めろ！,Haltet das Kaninchen auf!,阻止那隻兔子!,阻止那只兔子!,저 토끼를 잡아라!,Fermate quel coniglio!,Pare esse coelho!
boss_red_skeleton_bubu_b2,snd_talk_lowmid,f7a5cb,spr_portrait_bubu,-1,-1,-1,-1,-1,"I'm not a rabbit, I'm another Red Skeleton!","No soy un conejo, soy otro Esqueleto Rojo!",ウサギじゃない、別のレッドスケルトンだ！,"Ich bin kein Kaninchen, ich bin ein weiteres Rotes Skelett!",我才不是兔子哩，我只是又一隻紅色的骷髏罷了!,我才不是兔子哩，我只是又一只红色的骷髅罢了!,저 토끼 아니에요! 저도 붉은 해골이에요!,"Non sono un coniglio, sono un semplice Scheletro Rosso!","Eu não sou um coelho, Eu sou mais um Esqueleto Vermelho!"
boss_red_skeleton_bubu_b3,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You are? What's the Red Skeleton password?,Sí? Cuál es la contraseña de Esqueletos Rojo?,そうなのか？レッドスケルトンの合言葉は？,Bist du? Was ist das Rote Skelett Passwort?,你確定? 那麼請問紅色骷髏暗號是甚麼?,你确定? 那么请问红色骷髅暗号是什么?,그렇나? 그렇다면 암호를 대라!,Lo sei? Qual è la password degli Scheletri Rossi?,Vocé é? Qual é a senha do Esqueleto Vermelho?
boss_red_skeleton_bubu_b4,snd_talk_lowmid,f7a5cb,spr_portrait_bubu,-1,-1,-1,-1,-1,Erm.. password?,Erm.. contraseña?,えっと…合言葉？,Ähm.. Passwort?,"呃...""芝麻開門""?","呃...""芝麻开门""?",음... '암호'?,Ern.. password?,Erm.. senha?
boss_red_skeleton_bubu_b5,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,Wrong! It's Red Password!,Incorrecto! Es Contraseña Roja!,不正解！正解は「レッドパスワード」だ！,Falsch! Es ist Rotes Passwort!,"才怪! 是""紅色芝麻開門""!","才怪! 是""红色芝麻开门""!",틀렸어! '붉은 암호'다!,Sbagliato! E' Password Rossa!,Errado! É Senha Vermelha!
boss_red_skeleton_byby_a1,snd_talk_low,-1,spr_portrait_byby,-1,-1,-1,-1,-1,`sGET OFFA MA' LAND KNUCKLEHEADS!,`sSALGAN DE MI TIERRA CABEZAHUECAS!,`sワシの土地から出てけ、このボンクラども！,"`sRUNTER VON MEINEM LAND, IDIOTEN!",s給我滾出俺的土地，你們這些笨蛋!,s给我滚出俺的土地，你们这些笨蛋!,`s내 땅에서 썩 꺼져라 해골 바가지들아!!,`sFUORI DALLA MIA PROPIETA'!,`sCAI FORA DA MINHA TERRA SEUS CABEÇA DURA!
boss_red_skeleton_byby_a2,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,This tower is the property of The Great One!,Esta torre es propiedad de El Grande!,この塔は偉大なるお方のもんだ！,Dieser Turm gehört dem Allmächtigen!,這座塔是至高尊主的私人財產!,这座塔是至高尊主的私人财产!,이 탑은 위대한 자의 소유다!,Questa torre è propietà del Grande Maestro!,Essa torre é a propriedade de O Grande!
boss_red_skeleton_byby_a3,snd_talk_low,-1,spr_portrait_byby,-1,-1,-1,-1,-1,Yer jaw's about to be tha property of `sMY AXE,Y tu cara está apunto de ser propiedad de `sMI HACHA,お前のアゴはじき`sワシの斧のもんだべ,Dein Kiefer gehört gleich `sMEINER AXT,你的下巴也會是's俺的大斧頭's的私人財產!,你的下巴也会是's俺的大斧头's的私人财产!,그래? 과연 내 도끼도 그렇게 생각할까?,La tua mascella sta per diventare propietà della `sMIA ASCIA,Sua boca vai ser propriedade do `sMEU MACHADO
boss_red_skeleton_byby_b1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You'll never get past us!,Nunca pasarás por nosotros!,ここは通さねぇぞ！,Du kommst nie an uns vorbei!,你過不去的!,你过不去的!,넌 못 지나간다!,Non ti faremo mai passare!,Você nunca vai conseguir passar por nos!
boss_red_skeleton_byby_b2,snd_talk_low,-1,spr_portrait_byby,-1,-1,-1,-1,-1,I won't?,No?,通れない？,Komme ich nicht?,你確定? ,你确定? ,그래?,Sicuro?,Eu não vou?
boss_red_skeleton_byby_b3,snd_talk_low,-1,spr_portrait_byby,-1,-1,-1,-1,-1,I've cut down trees thicker than yer skull,He cortado árboles más gruesos que tu cabeza!,お前の頭蓋骨より太い木を切ってきたんだぞ,I have Bäume dicker als dein Schädel gefällt,俺可是砍倒過比你骨頭還粗的樹幹的。,俺可是砍倒过比你骨头还粗的树干的。,지금까지 내가 베온 나무만 해도 네 해골보다 두꺼울 텐데?,Ho tagliato alberi più spessi del tuo cranio,Eu já derrubei árvores mais grossas que seu crânio
boss_red_skeleton_byby_b4,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You're bluffing! No tree is thicker than my skull!,Jaja! Ningún árbol es más grueso que mi cabeza!,ハッタリだ！俺の頭より太い木なんてあるか！,Du blöffst! Kein Baum ist dicker als mein Schädel!,你胡說! 沒有任何樹幹比我的骨頭還粗!,你胡说! 没有任何树干比我的骨头还粗!,그럴 리 없다! 내 머리보다 두꺼운 나무는 세상에 존재하지 않는다!,E' un bluff! non esisten un albero più spesso del mio cranio!,Você tá blefando! Não tem árvore mais grossa que meu crânio!
boss_blue_knight_bibi_a1,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,You've done well to get this far.,Haz hecho bien llegando tan lejos.,ここまでよく辿り着いた。,"Gut gemacht, dass du so weit gekommen bist.",你能到達這裡還真不簡單。,你能到达这里还真不简单。,여기까지 잘 왔다.,Complimenti per essere arrivata così lontana.,Você foi bem para chegar até aqui.
boss_blue_knight_bibi_a2,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,Thank you!,Gracias!,ありがとう！,Danke!,謝謝你!,谢谢你!,감사합니다!,Grazie!,Obrigado!
boss_blue_knight_bibi_a3,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,But your journey ends here.,Pero tu viaje termina aqui.,だが旅はここで終わりだ。,Aber deine Reise endet hier.,但是你的旅途就此結束了。,但是你的旅途就此结束了。,그러나 네 여정도 여기서 끝이다!,Ma il tuo cammino finisce qua.,Mas sua jornada acaba aqui.
boss_blue_knight_bibi_a4,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,..Not thank you!,.. No gracias!,…ありがとうじゃない！,.. nicht danke!,...不了謝謝!,...不了谢谢!,..아까 그 말 취소에요!,..no grazie!,..Não obrigado!
boss_blue_knight_bibi_b1,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,Your skills are impressive.,Tus habilidades son de admirar.,お前の腕前は見事だ。,Deine Fähigkeiten sind sehr erstaunlich.,你的能力還真讓人佩服啊。,你的能力还真让人佩服啊。,실력이 상당하군.,"Sei molto abile, impressionante.","Os seus planos acabam aqui, invasor."
boss_blue_knight_bibi_b2,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,Thanks! I've been practicing!,Gracias! He estado practicando!,ありがと！練習したから！,Danke! Ich hab trainiert!,謝謝! 我練習很久了!,谢谢! 我练习很久了!,감사합니다! 연습 많이 했어요!,Grazie! Mi sono allenata!,Obrigado! Eu tenho praticado!
boss_blue_knight_bibi_b3,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,But not impressive enough.,Pero no lo suficiente.,だがまだ足りん。,Aber nicht erstaunlich genug.,但是還不夠讓人佩服。,但是还不够让人佩服。,그러나 날 이기기에는 부족하다!,Ma non impressionante abbastanza.,mas você esta se tornando muito perigoso Bobo..
boss_blue_knight_bibi_b4,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,:(,:(,:(,:(,:(,:(,:(,:(,:(
boss_blue_knight_bibi_c1,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,I will be the test to determine your worth.,Seré la prueba que determine tu valor.,お前の真価を試すのは私だ。,Ich werde der Test deines Wertes sein.,我會成為衡量你的價值的試煉。,我会成为衡量你的价值的试炼。,너의 가치를 시험하겠다.,Sarò il test per determinare il tuo valore.,Eu serei o teste para determinar o seu valor.
boss_blue_knight_bibi_c2,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,..what?,..qué?,…なに？,..was?,...說啥?,...说啥?,..뭐라고요?,..cosa?,...que?
boss_blue_knight_baba_a1,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,You've done well to get this far.,Haz hecho bien llegando tan lejos.,ここまでよく辿り着いた。,"Gut gemacht, dass du so weit gekommen bist.",你能到達這裡還真不簡單。,你能到达这里还真不简单。,여기까지 잘 왔다.,Complimenti per essere arrivato così lontano.,Você foi bem para chegar até aqui.
boss_blue_knight_baba_a2,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,Then let me pass.,Entonces déjame pasar.,じゃあ通して。,Dann lass mich durch.,那讓我過。,那让我过。,그럼 지나가도 좋나?,"Ok, fammi passare allora.",Então me deixe passar.
boss_blue_knight_baba_a3,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,I'm afraid it won't be that easy.,Temo que no será tan fácil.,そう簡単にはいかない。,Ich befürchte dass es nicht so einfach ist.,很遺憾的，事情可沒這麼簡單。,很遗憾的，事情可没这么简单。,그건 어려울 것 같군.,Non sarà così facile.,Receio que não será tão fácil.
boss_blue_knight_baba_a4,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,It never is.,Nunca lo es.,いつもそうだ。,Ist es nie.,凡事皆是如此。,凡事皆是如此。,뭐든 쉬운 일은 없지.,Non lo è  mai.,Nunca é.
boss_blue_knight_baba_b1,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,I'll bury your remains.,Enterraré tus restos.,お前の亡骸は私が葬ってやろう。,Ich werde deine Überreste begraben.,我會親手將你下葬的。,我会亲手将你下葬的。,땅 속에 묻어 주마.,Seppellirò i tuoi resti.,Vou enterrar os seus restos.
boss_blue_knight_baba_b2,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,"Oh, someone with respect.","Oh, alguien con respeto.",おお、礼儀のあるやつ。,"Oh, jemand mit etwas Respekt.",終於有個有點禮節的人了。,终于有个有点礼节的人了。,그것 참 좋은 대접이군.,"Oh, qualcuno con del rispetto.",
boss_blue_knight_baba_b3,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,*bows*,*se inclina*,*お辞儀*,*verbeugt sich*,*鞠躬*,*鞠躬*,*고개를 숙인다*,*inchino*,*vénia*
boss_blue_knight_baba_b4,snd_talk_low,fff6d1,spr_portrait_baba,-1,-1,-1,-1,-1,*bows*,*se inclina*,*お辞儀*,*verbeugt sich*,*鞠躬*,*鞠躬*,*고개를 숙인다*,*inchino*,*vénia*
boss_blue_knight_bobo_a1,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,You've done well to get this far.,Haz hecho bien llegando tan lejos.,ここまでよく辿り着いた。,"Gut gemacht, dass du so weit gekommen bist.",你能到達這裡還真不簡單。,你能到达这里还真不简单。,여기까지 잘 왔다.,Complimenti per essere arrivato così lontano.,Você foi bem para chegar até aqui.
boss_blue_knight_bobo_a2,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,`sI MADE YOU!,`sYO TE CREÉ,`s俺がお前を作ったんだぞ！,`sICH HABE DICH ERSCHAFFEN!,s我造了你!,s我造了你!,`s넌 내가 만들었잖아!!!,`sTI HO CREATO!,`sEU CRIEI VOCÊ!
boss_blue_knight_bobo_a3,snd_talk_low,16d7c5,spr_portrait_blue_knight,-1,-1,-1,-1,-1,It seems you need to be taught discipline.,Parece que necesitas ser enseñado disciplina.,規律を教える必要があるようだな。,"Scheint, als müsste dir jemand Disziplin beibringen.",你似乎得好好管教一番。,你似乎得好好管教一番。,좀 더 예의를 갖추시지.,Sembra che hai bisogno di imparare un po' di disciplina.,Parece que você precisa ser disciplinado.
boss_blue_knight_bobo_a4,snd_talk_lowmid,f3773b,spr_portrait_bobo,-1,-1,-1,-1,-1,`sI MADE YOU!!,`sYO TE CREÉ,`s俺がお前を作ったんだぞ！！,`sICH HABE DICH ERSCHAFFEN!,s我造了你!,s我造了你!,`s넌 내가 만들었다고!!!,`sTI HO CREATO!!,`sEU CRIEI VOCÊ!!
